region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,245.0,435.0,4:05,7:15,190.0,0.0
2,635.0,735.0,10:35,12:15,100.0,0.0
3,825.0,885.0,13:45,14:45,60.0,0.0
4,1935.0,2085.0,32:15,34:45,150.0,0.0
5,2205.0,2255.0,36:45,37:35,50.0,0.0
6,2455.0,2645.0,40:55,44:05,190.0,0.0
7,2825.0,2955.0,47:05,49:15,130.0,0.0
8,3015.0,3395.0,50:15,56:35,380.0,0.0
9,3475.0,3565.0,57:55,59:25,90.0,0.0
10,3705.0,4265.0,1:01:45,1:11:05,560.0,0.0
11,4575.0,4645.0,1:16:15,1:17:25,70.0,0.0
12,4705.0,4885.0,1:18:25,1:21:25,180.0,0.0
13,4975.0,5085.0,1:22:55,1:24:45,110.0,0.0
14,5305.0,5415.0,1:28:25,1:30:15,110.0,0.0
15,5535.0,6085.0,1:32:15,1:41:25,550.0,0.0
16,6145.0,6205.0,1:42:25,1:43:25,60.0,0.0
17,6295.0,6355.0,1:44:55,1:45:55,60.0,0.0
18,6515.0,6565.0,1:48:35,1:49:25,50.0,0.0
19,6675.0,6845.0,1:51:15,1:54:05,170.0,0.0
20,7065.0,7135.0,1:57:45,1:58:55,70.0,0.0
21,7465.0,7515.0,2:04:25,2:05:15,50.0,0.0
22,7655.0,7715.0,2:07:35,2:08:35,60.0,0.0
23,8005.0,8105.0,2:13:25,2:15:05,100.0,0.0
24,8295.0,8905.0,2:18:15,2:28:25,610.0,0.0
25,9035.0,9245.0,2:30:35,2:34:05,210.0,0.0
26,9675.0,9765.0,2:41:15,2:42:45,90.0,0.0
27,10055.0,10255.0,2:47:35,2:50:55,200.0,0.0
28,10925.0,11085.0,3:02:05,3:04:45,160.0,0.0
29,11225.0,12125.0,3:07:05,3:22:05,900.0,0.0
30,12215.0,12425.0,3:23:35,3:27:05,210.0,0.0
31,12475.0,12595.0,3:27:55,3:29:55,120.0,0.0
32,12735.0,12795.0,3:32:15,3:33:15,60.0,0.0
33,13225.0,13315.0,3:40:25,3:41:55,90.0,0.0
